# Wavelength     HSO3- Molar Decadic Absorption Coefficient 
#  (nm)   (M$^{-1}$cm$^{-1}$)
221.80 1.535675e+01
221.80 1.521484e+01
221.80 1.507424e+01
221.91 1.493488e+01
222.01 1.479682e+01
222.01 1.466008e+01
222.01 1.452460e+01
222.01 1.439038e+01
222.02 1.425739e+01
222.22 1.412554e+01
222.22 1.399501e+01
222.22 1.386568e+01
222.23 1.373754e+01
222.23 1.361059e+01
222.43 1.348472e+01
222.43 1.336011e+01
222.44 1.323664e+01
222.44 1.311432e+01
222.44 1.299313e+01
222.65 1.287297e+01
222.65 1.275401e+01
222.65 1.263615e+01
222.65 1.251938e+01
222.65 1.240368e+01
222.86 1.228897e+01
222.86 1.217541e+01
222.86 1.206289e+01
222.86 1.195142e+01
222.86 1.184097e+01
223.00 1.171336e+01
223.07 1.162306e+01
223.07 1.151565e+01
223.07 1.140923e+01
223.07 1.130379e+01
223.21 1.118197e+01
223.28 1.109576e+01
223.28 1.099323e+01
223.28 1.089164e+01
223.29 1.079098e+01
223.42 1.067469e+01
223.49 1.059239e+01
223.49 1.049451e+01
223.50 1.039752e+01
223.50 1.030144e+01
223.60 1.020621e+01
223.60 1.011189e+01
224.31 8.313210e+00
225.02 6.834474e+00
225.73 5.618773e+00
226.45 4.619318e+00
227.16 3.797644e+00
227.87 3.122128e+00
228.58 2.566771e+00
229.29 2.110199e+00
230.00 1.734842e+00
231.00 1.506221e+00
232.00 1.333734e+00
233.00 1.258459e+00
234.00 1.183032e+00
235.00 1.180546e+00
236.00 1.182020e+00
237.00 1.251755e+00
238.00 1.300714e+00
239.00 1.404264e+00
240.00 1.527765e+00
241.00 1.678362e+00
242.00 1.830057e+00
243.00 2.009699e+00
244.00 2.201605e+00
245.00 2.352775e+00
246.00 2.559420e+00
247.00 2.751641e+00
248.00 2.926528e+00
249.00 3.150531e+00
250.00 3.303814e+00
251.00 3.501251e+00
252.00 3.677443e+00
253.00 3.825350e+00
254.00 3.978633e+00
255.00 4.106291e+00
256.00 4.227265e+00
257.00 4.302731e+00
258.00 4.450586e+00
259.00 4.508803e+00
260.00 4.577615e+00
261.00 4.604903e+00
262.00 4.631425e+00
263.00 4.677053e+00
264.00 4.679198e+00
265.00 4.683168e+00
266.00 4.702667e+00
267.00 4.650457e+00
268.00 4.629225e+00
269.00 4.602007e+00
270.00 4.552986e+00
271.00 4.509579e+00
272.00 4.425327e+00
273.00 4.375018e+00
274.00 4.309576e+00
275.00 4.231158e+00
276.00 4.154243e+00
277.00 4.051659e+00
278.00 3.926016e+00
279.00 3.856068e+00
280.00 3.732359e+00
281.00 3.604505e+00
282.00 3.478291e+00
283.00 3.358290e+00
284.00 3.207346e+00
285.00 3.076824e+00
286.00 2.956443e+00
287.00 2.781310e+00
288.00 2.628056e+00
289.00 2.479453e+00
290.00 2.330751e+00
291.00 2.183967e+00
292.00 2.056552e+00
293.00 1.908808e+00
294.00 1.754378e+00
295.00 1.602053e+00
296.00 1.479952e+00
297.00 1.356563e+00
298.00 1.228890e+00
299.00 1.125864e+00
300.00 9.842820e-01
301.00 8.813731e-01
302.00 7.782964e-01
303.00 7.026014e-01
304.00 6.250985e-01
305.00 5.502728e-01
306.00 4.765395e-01
307.00 4.021650e-01
308.00 3.336465e-01
309.00 3.082512e-01
310.00 2.566512e-01
311.00 2.047228e-01
312.00 1.846827e-01
313.00 1.556081e-01
314.00 1.079439e-01
315.00 8.360656e-02
316.00 5.486007e-02
317.00 5.824954e-02
318.00 3.337330e-02
319.00 2.178312e-02
320.00 0.000000e+00
321.00 0.000000e+00
322.00 0.000000e+00
323.00 0.000000e+00
324.00 0.000000e+00
325.00 0.000000e+00
326.00 0.000000e+00
327.00 0.000000e+00
328.00 0.000000e+00
329.00 0.000000e+00
330.00 0.000000e+00
331.00 0.000000e+00
332.00 0.000000e+00
333.00 0.000000e+00
334.00 0.000000e+00
335.00 0.000000e+00
336.00 0.000000e+00
337.00 0.000000e+00
338.00 0.000000e+00
339.00 0.000000e+00
340.00 0.000000e+00
341.00 0.000000e+00
342.00 0.000000e+00
343.00 0.000000e+00
344.00 0.000000e+00
